in:Option_ID,in:WWR_N,in:WWR_E,in:WWR_S,in:WWR_W,in:Vert_Overhang,in:Horiz_Overhang,in:Wall_R,in:Roof_R,in:Glazing_U,in:Operable_Percent,in:Scale,in:Length,in:SHGC,in:Infil,out:Peak_Cooling_Load,out:Peak_Heating_Load,out:Hours_above_acceptability,out:1,out:2,out:3,out:4,out:5,out:6,out:7,out:8,out:9,out:10,out:11
381,0.717407879,0.219548937,0.235537307,0.728751657,0.714766192,1.279702807,17.58180447,14.01451444,0.845854416,0.23062626,0.818688441,27.72297507,0.493964127,0.000441336,264430.5001,440146.883,80,79,78,81,85,81,82,83,80,79,78,77
382,0.203639898,0.739428075,0.377393833,0.190505798,0.996718804,1.616417011,12.32758911,31.7346493,0.736180327,0.469504359,1.127134635,27.04120564,0.525023629,0.000281771,392970.739,370257.709,83,76,71,85,82,82,86,83,81,83,75,74
383,0.531748539,0.415618188,0.683011206,0.548094552,0.614336834,1.154828815,24.42400182,9.86829302,0.862329437,0.696406868,1.095169816,25.75655191,0.555065422,0.000329832,435488.9246,753165.5055,81,78,78,82,80,80,82,81,80,80,76,77
384,0.366979956,0.324235631,0.721329989,0.56930514,0.516684818,0.490074226,15.42958563,13.82963402,0.311337049,0.059997751,0.926567348,26.25821791,0.659703044,0.000466356,331402.7049,413284.412,89,92,85,88,92,86,88,95,87,87,88,85
385,0.252239602,0.660257304,0.658604899,0.417485634,0.400352842,0.253983724,21.39712353,5.634195503,0.706460735,0.518105113,0.990942355,23.74134079,0.464967442,0.000271606,405948.843,483394.067,82,78,78,83,82,82,84,84,82,81,81,79
386,0.477305318,0.473538095,0.232072714,0.344151967,0.771095789,1.313541239,13.32032446,30.03759227,0.638494738,0.39979609,1.013354802,26.61662522,0.378020823,0.000268057,255834.2579,264341.513,80,72,75,83,82,80,81,82,81,79,71,70
387,0.586308275,0.320029693,0.689887956,0.322790388,0.206945534,1.191014927,6.534107096,36.41326304,0.325742957,0.26499104,0.952033798,29.62185617,0.517911606,0.000215826,230531.9571,183992.639,84,81,81,84,84,83,86,85,83,84,81,81
388,0.237821666,0.61325817,0.511331805,0.504617814,0.13105525,1.684090129,14.71796035,37.12294439,0.636083164,0.027803626,1.115477405,26.26418906,0.523675955,0.000330418,358015.7524,512152.346,92,107,84,89,101,85,92,129,89,89,88,82
389,0.583676239,0.562020178,0.547693457,0.69341892,0.503730769,1.580734777,29.05776585,20.73546707,0.379025826,0.491426383,0.955896124,20.05397714,0.67658097,0.000272069,338284.5321,396952.867,87,84,83,87,85,85,87,88,85,86,81,83
390,0.474532066,0.360536497,0.218722902,0.360868354,0.105763967,0.219389723,21.96941937,38.75369981,0.573216716,0.104742249,0.805133552,26.35342166,0.271640044,0.000278874,132734.837,208521.092,78,78,75,84,90,82,83,85,81,79,79,74
391,0.438405805,0.429106418,0.610389783,0.567399819,0.850487566,0.736202586,14.42450369,35.58601218,0.30383425,0.456862684,0.983653689,26.76909237,0.629977614,0.000370256,301183.2043,426553.306,85,82,82,87,84,84,87,84,84,84,82,83
392,0.662992324,0.702246538,0.18457055,0.459529202,0.710320464,1.208267697,12.63989371,23.02016,0.341685845,0.062422586,0.834165841,29.98036859,0.458359873,0.00038995,227410.0764,289471.142,88,88,83,88,104,86,88,91,85,88,94,82
393,0.159035834,0.336054158,0.181245452,0.174294666,0.255703837,0.797195262,7.921504698,33.14681179,0.691945701,0.651582784,1.01591582,27.85785693,0.404483618,0.000364643,250811.5585,357171.808,78,64,68,80,80,77,80,80,77,78,67,69
